filepath,fold,label_asli,label_baru,keputusan,alasan,reviewer,margin,label_quality_score,is_double_flagged
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_429.jpg,4,0.0,0.0,drop,rancu,raka,67.324.927.754.504,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_136.jpg,1,0.0,0.0,drop,gajelas,raka,116.121.392.576.364,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_8580.jpg,3,0.0,0.0,drop,campuran,raka,16.765.545.973.728,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_9080.jpg,2,0.0,0.0,drop,rancu,raka,219.956.876.792.722,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_274.jpg,2,0.0,0.0,drop,rancu,raka,262.041.102.079.865,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_1757.jpg,4,0.0,0.0,keep,masih aman,raka,266.355.001.432.992,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_3616.jpg,3,0.0,0.0,drop,gambar,raka,373.800.899.928.856,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_6063.jpg,0,0.0,0.0,keep,masih aman,raka,382.681.668.063.519,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_2732.jpg,0,0.0,0.0,keep,masih aman,raka,398.995.256.663.595,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4836.jpg,0,0.0,0.0,drop,gajelas,raka,443.831.154.371.784,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_779.jpg,0,0.0,0.0,drop,orang,raka,463.460.482.376.456,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_9277.jpg,1,0.0,0.0,keep,masih aman,raka,520.812.158.396.475,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4090.jpg,0,0.0,0.0,keep,campuran,raka,530.459.683.073.933,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_546.jpg,2,0.0,0.0,drop,gambar,raka,561.027.720.298.639,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_8760.jpg,0,0.0,0.0,drop,campuran,raka,59.248.138.015.171,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5548.jpg,3,0.0,0.0,drop,campuran,raka,60.249.985.808.659,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_7961.jpg,1,0.0,0.0,drop,gambar,raka,658.062.543.350.145,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_484.jpg,0,0.0,0.0,keep,masih aman,raka,682.260.620.206.638,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4595.jpg,2,0.0,0.0,drop,gajelas,raka,714.600.468.990.745,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_792.jpg,4,0.0,0.0,keep,masih aman,raka,729.123.441.162.203,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_2674.jpg,1,0.0,0.0,drop,campuran,raka,756.417.967.341.755,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_9347.jpg,4,0.0,0.0,drop,campuran,raka,76.517.476.148.649,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_776.jpg,1,0.0,0.0,drop,gajelas,raka,795.547.014.628.629,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_811.jpg,1,0.0,0.0,keep,masih aman,raka,821.165.719.402.239,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_631.jpg,4,0.0,0.0,drop,campuran,raka,840.918.289.994.451,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5038.jpg,2,0.0,0.0,keep,masih aman,raka,860.854.281.607.091,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_8275.jpg,1,0.0,0.0,keep,masih aman,raka,868.567.278.224.777,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4626.jpg,3,0.0,0.0,drop,gajelas,raka,886.215.270.072.971,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_400.jpg,0,0.0,0.0,keep,masih aman,raka,886.499.777.990.739,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_9501.jpg,0,0.0,0.0,keep,kayu masuk ,raka,893.603.621.635.448,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_2227.jpg,1,0.0,0.0,drop,gajelas,raka,905.446.003.776.658,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5323.jpg,4,0.0,0.0,drop,gajelas,raka,92.771.077.948.108,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_9325.jpg,0,0.0,0.0,keep,kayu masuk ,raka,98.297.127.273.853,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_6995.jpg,3,0.0,0.0,keep,masih aman,raka,1.109.130.940.277.080,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4659.jpg,3,0.0,0.0,drop,gambar,raka,113.422.817.085.696,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_6627.jpg,4,0.0,0.0,keep,masih aman,raka,1.191.409.055.342.500,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5252.jpg,2,0.0,0.0,drop,campuran,raka,1.302.480.812.380.350,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_726.jpg,4,0.0,0.0,drop,gajelas,raka,1.302.601.248.783.390,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5414.jpg,2,0.0,0.0,drop,campuran,raka,1.360.830.630.779.640,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5777.jpg,1,0.0,0.0,drop,rancu,raka,1.361.130.823.899.040,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_545.jpg,0,0.0,0.0,drop,gajelas,raka,1.371.448.904.053.410,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5432.jpg,3,0.0,0.0,drop,campuran,raka,1.374.698.675.987.570,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4655.jpg,3,0.0,0.0,drop,gajelas,raka,15.153.528.245.769,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4605.jpg,2,0.0,0.0,drop,gajelas,raka,152.956.354.203.585,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4860.jpg,4,0.0,0.0,drop,gajelas,raka,1.561.699.855.666.780,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4543.jpg,3,0.0,0.0,drop,gajelas,raka,166.237.640.483.393,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_637.jpg,4,0.0,0.0,drop,gajelas,raka,1.685.144.743.260.790,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_8134.jpg,0,0.0,0.0,keep,buku,raka,1.734.238.221.545.490,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_739.jpg,4,0.0,0.0,drop,gajelas,raka,1.743.361.099.071.120,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_4660.jpg,4,0.0,0.0,drop,gajelas,raka,183.321.862.509.248,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_7136.jpg,3,0.0,0.0,keep,masih aman,raka,1.852.551.649.116.770,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_7004.jpg,1,0.0,0.0,keep,masih aman,raka,1.882.527.015.010.750,,FALSE
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_743.jpg,1,0.0,0.0,drop,campuran,raka,188.545.666.190.956,,FALSE
