filepath,fold,label,pred_class,margin,entropy,top1_prob,top2_prob,pair_label_pred,is_priority_pair,ambig_source,is_double_flagged
/content/drive/MyDrive/BDC2026/train/2_Organic/O_8772.jpg,3,2,0,0.000666318447802,0.7090839671957836,0.4990647850112241,0.4983984665634221,Organic→Recyclable,True,low_margin,False
/content/drive/MyDrive/BDC2026/train/2_Organic/O_218.jpg,4,2,0,0.001487778862278,0.7087513658996509,0.4995068464443877,0.4980190675821097,Organic→Recyclable,True,low_margin,False
/content/drive/MyDrive/BDC2026/train/2_Organic/O_1870.jpg,1,2,0,0.0038469279129581,0.844128403460234,0.4797064573606523,0.4758595294476941,Organic→Recyclable,True,both,False
/content/drive/MyDrive/BDC2026/train/2_Organic/O_9158.jpg,0,2,0,0.0059797028967255,0.8117934886494347,0.4871334728999058,0.4811537700031802,Organic→Recyclable,True,both,False
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_429.jpg,4,0,2,0.0067324927754504,0.8275160989276789,0.4845241629460021,0.4777916701705517,Recyclable→Organic,True,both,False
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_136.jpg,1,0,2,0.0116121392576364,0.8573999395288974,0.4807025041387056,0.4690903648810692,Recyclable→Organic,True,both,False
/content/drive/MyDrive/BDC2026/train/2_Organic/O_7463.jpg,1,2,0,0.0141354183439695,0.7017694647727979,0.5064440637832158,0.4923086454392463,Organic→Recyclable,True,low_margin,False
/content/drive/MyDrive/BDC2026/train/2_Organic/O_1686.jpg,1,2,0,0.0153841813127751,1.008821296118617,0.4340813463092943,0.4186971649965191,Organic→Recyclable,True,both,False
/content/drive/MyDrive/BDC2026/train/2_Organic/O_6643.jpg,0,2,0,0.016320794807556,0.9615923372193556,0.4537568674810021,0.437436072673446,Organic→Recyclable,True,both,False
/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_8580.jpg,3,0,2,0.016765545973728,0.7267530718757278,0.5052429979783052,0.4884774520045771,Recyclable→Organic,True,both,False
/content/drive/MyDrive/BDC2026/train/2_Organic/O_9692.jpg,2,2,0,0.0196475669278615,1.060544018038149,0.4054178884806542,0.3857703215527926,Organic→Recyclable,True,both,False
