filepath,fold,label_asli,label_baru,keputusan,alasan,reviewer,prob_recyclable,prob_electronic,prob_organic,confidence,pred_label_id
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5929.jpg",3,0,0,drop,"","aga",0.128210,0.000000,0.871790,0.871790,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5642.jpg",1,0,0,drop,"","aga",0.140374,0.000000,0.859626,0.859626,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_5850.jpg",1,0,0,drop,"","aga",0.334751,0.067849,0.597399,0.597399,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_563.jpg",2,0,0,drop,"","aga",0.000000,0.000000,1.000000,1.000000,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_6078.jpg",3,0,0,drop,"","aga",0.200062,0.000000,0.799938,0.799938,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_7063.jpg",4,0,0,drop,"","aga",0.458378,0.061985,0.479636,0.479636,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_6862.jpg",0,0,0,drop,"","aga",0.394627,0.605373,0.000000,0.605373,1
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_6935.jpg",3,0,0,drop,"","aga",0.160956,0.000000,0.839044,0.839044,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_757.jpg",3,0,0,drop,"","aga",0.386403,0.000000,0.613597,0.613597,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_7802.jpg",4,0,0,drop,"","aga",0.275719,0.000000,0.724281,0.724281,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_7825.jpg",4,0,0,drop,"","aga",0.199850,0.000000,0.800150,0.800150,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_793.jpg",0,0,0,drop,"","aga",0.204264,0.729480,0.066256,0.729480,1
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_8223.jpg",0,0,0,drop,"","aga",0.346510,0.000000,0.653490,0.653490,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_813.jpg",2,0,0,drop,"","aga",0.205979,0.000000,0.794021,0.794021,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_821.jpg",3,0,0,drop,"","aga",0.064454,0.000000,0.935546,0.935546,2
"/content/drive/MyDrive/BDC2026/train/0_Recyclable/R_818.jpg",1,0,0,drop,"","aga",0.246142,0.000000,0.753858,0.753858,2
